uid,hotspot_0,hotspot_1,hotspot_2
9295,26,-1,-1
9304,26,-1,-1
9317,26,-1,-1
9319,26,-1,-1
9346,26,-1,-1
9352,26,-1,-1
9357,26,-1,-1
9361,26,-1,-1
9366,26,-1,-1
9376,26,-1,-1
9388,26,-1,-1
9393,26,-1,-1
9399,26,-1,-1
9403,26,-1,-1
9411,26,-1,-1
9415,26,13,-1
9416,26,-1,-1
9431,26,-1,-1
9438,26,-1,-1
9445,26,-1,-1
9446,26,-1,-1
9453,26,-1,-1
9457,26,-1,-1
9458,26,-1,-1
9479,26,-1,-1
9481,26,-1,-1
9482,26,-1,-1
9492,26,-1,-1
9496,26,-1,-1
9503,26,-1,-1
9519,26,16,-1
9541,26,-1,-1
9565,26,-1,-1
9578,26,-1,-1
9585,26,-1,-1
9606,26,13,16
9618,26,-1,-1
9620,26,-1,-1
9621,26,-1,-1
9643,26,-1,-1
9650,26,-1,-1
9653,26,-1,-1
9657,26,-1,-1
9658,26,-1,-1
9660,26,-1,-1
9665,26,-1,-1
9670,26,-1,-1
9671,26,-1,-1
9680,26,-1,-1
9692,26,-1,-1
9714,26,-1,-1
9715,26,-1,-1
9733,26,-1,-1
9736,26,-1,-1
9757,26,-1,-1
9759,26,-1,-1
9761,26,-1,-1
9797,26,-1,-1
9804,26,-1,-1
9812,26,4,13
9827,26,-1,-1
9835,26,-1,-1
9839,26,-1,-1
9850,26,-1,-1
9853,26,-1,-1
9866,26,13,-1
9867,26,-1,-1
9870,26,-1,-1
9879,26,-1,-1
9881,26,-1,-1
9909,26,-1,-1
9916,26,-1,-1
9923,26,-1,-1
9945,26,-1,-1
9950,26,-1,-1
9954,26,-1,-1
9988,26,-1,-1
10027,26,-1,-1
10030,26,-1,-1
10043,26,-1,-1
10049,26,13,20
10057,26,-1,-1
10058,26,-1,-1
10064,26,16,-1
10078,26,-1,-1
10081,26,13,12
10085,26,-1,-1
10089,26,-1,-1
10092,26,3,-1
10094,26,-1,-1
10108,26,-1,-1
10119,26,-1,-1
10130,26,-1,-1
10151,26,-1,-1
10155,26,-1,-1
10161,26,-1,-1
10166,26,-1,-1
10186,26,-1,-1
